id,name,phone,timeOpen,ratingAverage,details,rangePrice,Longitude,Latitude,address
1,030 Cuisine,+(84)0794997030,Đang mở cửa: 11:00 SA - 10:30 CH,4.5,"Phong cách ẩm thực Fusion Nhật Bản, Kiểu Đức, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống",100.000 vnd - 400.000 vnd,106.7062995,10.7744649,"Khách sạn Renaissance Riverside Sài Gòn, 8-15, Đường Tôn Ðức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 72806, Việt Nam"
2,1102 Crab Pot,+84 8 3820 6453,Đang mở cửa: 10:00 SA - 11:30 CH,4.5,"Kiểu Á, Kiểu Việt, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.7042346,10.7757706,"Khách Sạn Caravelle Saigon, 88, Đường Ðồng Khởi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
3,123 Vietnamese Cafe & Restaurant,+84 8 3829 1429,Đang mở cửa: 10:00 SA - 10:00 CH,3.5,"Kiểu Việt, Kiểu Á, Phù hợp với người ăn chay, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.704649,10.7778222,"Saigon Apartment, 11D, Thi Sách, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
4,13% Gastro Wine,+84 90 455 18 12,Đang mở cửa: 11:30 SA - 12:00 SA,5.0,"Kiểu Địa Trung Hải, Thịt nướng, Quầy rượu vang, Bữa trưa, Bữa tối, Đêm muộn, Đồ uống",700.000 vnd - 1.000.000 vnd,106.7123207,10.7899721,"The Rabbit Hole Irish Sports Bar, Đường Phạm Viết Chánh, Phường 19, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 77000, Việt Nam"
5,1903 Café,+84 91 421 43 34,Đang mở cửa: 07:00 SA - 10:00 CH,5.0,"Cà phê, Bữa sáng, Bữa trưa, Bữa tối",20.000 vnd - 99.000 vnd,106.7013296,10.7783067,"Chung cư 26 Lý Tự Trọng, Lý Tự Trọng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
6,1920 - Prohibition,+84 96 257 27 13,,4.5,"Kiểu Pháp, Hải sản, Quốc tế, Kiểu Việt, Quầy rượu vang",100.000 vnd - 400.000 vnd,106.7040596,10.7740888,"chung cư 42 Nguyễn Huệ, Đường Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
7,1976 - Món Ngon Vị Bắc,+84 89 978 19 76,,4.5,"Kiểu Á, Cửa hàng thức ăn ngon, Kiểu Bữa tối",20.000 vnd - 99.000 vnd,106.7124186,10.7899294,"The Rabbit Hole Irish Sports Bar, Đường Phạm Viết Chánh, Phường 19, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 77000, Việt Nam"
8,22z10 Bar Saigon,+84 33 467 8825,Đang mở cửa: 08:00 SA - 01:00 SA,5.0,"Quầy bar, Quán rượu, Pizza, Cà phê, Kiểu Việt, Đêm muộn, Đồ uống",100.000 vnd - 400.000 vnd,106.6906521,10.7648392,"Massage Ngọc Anh, hẻm 102 Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
9,24-Nov,+84 94 108 04 17,Đóng cửa sau 50 phút nữa:  Xem tất cả giờ,4.5,"Kiểu Á, Đương đại, Kiểu Việt, Cà phê, Phù hợp với người ăn chay, Tùy chọn ăn chay, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống",400.000 vnd - 700.000 vnd,106.5161961,10.9746451,"Xã Phước Vĩnh An, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam"
10,2G Hub,+84 8 2220 0666,Đang mở cửa: 06:00 SA - 9:00 CH,5.0,"Cà phê, Đồ ăn nhanh, Kiểu Á, Kiểu Việt, Kiểu Bữa tối, Thức ăn đường phố, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống",20.000 vnd - 99.000 vnd,106.7038779,10.7754461,"Khách Sạn Caravelle Saigon, 88, Đường Ðồng Khởi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
11,2T Quan Nuong,Chưa xác thực,,4.5,"Đồ nướng, Kiểu Á, Kiểu Việt, Bữa trưa, Bữa tối, Chỗ ngồi, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.733626,10.7411578,"Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, 72800, Việt Nam"
12,2Ti Quan,Chưa xác thực,,4.0,"Kiểu Việt, Hải sản, Bữa trưa, Chỗ ngồi",400.000 vnd - 700.000 vnd,106.6921147,10.7788073,"Nhà Hàng Nam Phạm, Đường Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 70001, Việt Nam"
13,3 Con Soc Sushi,+84 93 358 23 88,Đang mở cửa: 10:30 SA - 2:00 CH4:00 CH - 10:00 CH,4.0,"Kiểu Nhật, Hải sản, Bữa trưa, Bữa tối, Đặt chỗ",700.000 vnd - 1.000.000 vnd,106.6944294,10.786008,"ATM Techcombank, Đường Hai Bà Trưng, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
14,365 Degrees Pizzaria and Bar,+84 90 185 42 13,Đang mở cửa: 5:00 CH - 01:00 SA,3.5,"Kiểu Ý, Pizza, Phù hợp với người ăn chay, Bữa tối",400.000 vnd - 700.000 vnd,106.6907673,10.7697034,"Nhà Hàng Đèn Lồng, 130, Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
15,3T Egg Coffee Sài Gòn,+84 93 743 06 00,,5.0,Kiểu Việt,100.000 vnd - 400.000 vnd,106.7075282,10.7797911,"Khách Sạn Le Méridien Sài Gòn, 3C, Đường Tôn Ðức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
16,4An Authentic Vietnamese Vegetarian,+84 93 579 16 50,Đang mở cửa: 10:30 SA - 10:00 CH,5.0,"Cà phê, Cửa hàng thức ăn ngon, Kiểu Việt, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.705065,10.773268,"Kissho, Đường Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
17,4An Vegetarian,028 9999 6268,,4.0,"Cà phê, Cửa hàng thức ăn ngon, Đặt chỗ",100.000 vnd - 400.000 vnd,106.6981641,10.7788278,"Italiani's Pizza Han Thuyen, 17, Đường Hàn Thuyên, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
18,5 Senses,+84 28 6688 7888,Đang mở cửa: 3:00 CH - 12:30 SA,5.0,"Kiểu Nhật, Quầy bar, Kiểu Á, Đương đại, Quán rượu, Phong cách ẩm thực Fusion Nhật Bản, Bữa trưa, Bữa tối, Đặt chỗ, Ăn tối phòng riêng, Chỗ ngồi, Có bãi đỗ xe, Chỉ chấp nhận tiền mặt, Chấp nhận thẻ tín dụng, Có thẻ quà tặng",400.000 vnd - 700.000 vnd,106.7054334,10.7733077,"Ngon Sushi, Đường Ngô Ðức Kế, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
19,52/3 Kitchen & Bar,+84 90 300 76 60,Đang mở cửa: 5:00 CH - 12:00 SA,5.0,"Quầy bar, Kiểu Bữa tối, Kiểu Á, Kiểu Âu, Đương đại, Món kết hợp, Bữa tối, Bữa trưa, Đêm muộn, Đồ uống",100.000 vnd - 400.000 vnd,106.696552,10.767174,"Phòng khám Đa khoa Quốc tế Sài Gòn, 9-15, Trịnh Văn Cấn, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh, 71010, Việt Nam"
20,5G Saigon - Bia & Mồi,+84 8 3411 5779,Đang mở cửa: 4:00 CH - 12:00 SA,4.5,"Kiểu Việt, Bữa tối, Đồ uống",400.000 vnd - 700.000 vnd,106.6939688,10.7682298,"Khách Sạn Yến Trang 2, 40/29, Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, 71010, Việt Nam"
21,5ku Station,+84 90 777 54 87,Đang mở cửa: 4:00 CH - 04:00 SA,4.0,"Kiểu Á, Kiểu Việt, Đồ nướng, Bữa tối, Đêm muộn, Đặt chỗ, Ngồi ngoài trời, Chỗ ngồi, Phục vụ đồ uống có cồn, Wifi miễn phí, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.6941184,10.7730476,"Trường THCS Nguyễn Du, Đường Đặng Trần Côn, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 71009, Việt Nam"
